id,type,setup,punchline
103,general,Did you know crocodiles could grow up to 15 feet?,But most just have 4.
104,general,What do ghosts call their true love?,Their ghoul-friend
105,general,Did you know that protons have mass?,I didn't even know they were catholic.
106,general,Did you know you should always take an extra pair of pants golfing?,Just in case you get a hole in one.
107,general,Do I enjoy making courthouse puns?,Guilty
108,general,Do you know where you can get chicken broth in bulk?,The stock market.
109,general,Do you want a brief explanation of what an acorn is?,"In a nutshell, it's an oak tree."
110,general,Ever wondered why bees hum?,It's because they don't know the words.
111,general,Have you ever heard of a music group called Cellophane?,They mostly wrap.
112,general,Have you heard of the band 1023MB?,They haven't got a gig yet.
113,general,Have you heard the rumor going around about butter?,"Never mind, I shouldn't spread it."
114,general,How are false teeth like stars?,They come out at night!
115,general,How can you tell a vampire has a cold?,They start coffin.
116,general,How come a man driving a train got struck by lightning?,He was a good conductor.
117,general,How come the stadium got hot after the game?,Because all of the fans left.
118,general,How did Darth Vader know what Luke was getting for Christmas?,He felt his presents.
119,general,How did the hipster burn the roof of his mouth?,He ate the pizza before it was cool.
120,general,How do hens stay fit?,They always egg-cercise!
121,general,How do locomotives know where they're going?,Lots of training
122,general,How do the trees get on the internet?,They log on.
123,general,How do you find Will Smith in the snow?, Look for fresh prints.
124,general,How do you fix a broken pizza?,With tomato paste.
125,general,How do you fix a damaged jack-o-lantern?,You use a pumpkin patch.
126,general,How do you get a baby alien to sleep?, You rocket.
127,general,How do you get two whales in a car?,Start in England and drive West.
128,general,How do you know if there’s an elephant under your bed?,Your head hits the ceiling!
129,general,How do you make a hankie dance?,Put a little boogie in it.
130,general,How do you make holy water?,You boil the hell out of it.
131,general,How do you organize a space party?,You planet.
132,general,How do you steal a coat?,You jacket.
133,general,How do you tell the difference between a crocodile and an alligator?,You will see one later and one in a while.
134,general,How does a dyslexic poet write?,Inverse.
135,general,How does a French skeleton say hello?,Bone-jour.
136,general,How does a penguin build it’s house?,Igloos it together.
137,general,How does a scientist freshen their breath?,With experi-mints!
138,general,How does the moon cut his hair?,Eclipse it.
139,general,How many apples grow on a tree?,All of them!
140,general,How many bones are in the human hand?,A handful of them.
141,general,How many hipsters does it take to change a lightbulb?,"Oh, it's a really obscure number. You've probably never heard of it."
142,general,How many kids with ADD does it take to change a lightbulb?,Let's go ride bikes!
143,general,How many optometrists does it take to change a light bulb?,1 or 2? 1... or 2?
144,general,How many seconds are in a year?,"12. January 2nd, February 2nd, March 2nd, April 2nd.... etc"
145,general,How many South Americans does it take to change a lightbulb?,A Brazilian
146,general,How many tickles does it take to tickle an octopus?,Ten-tickles!
147,general,How much does a hipster weigh?,An instagram.
148,general,How was the snow globe feeling after the storm?,A little shaken.
149,general,Is the pool safe for diving?,It deep ends.
150,general,Is there a hole in your shoe?,No… Then how’d you get your foot in it?
151,general,What did the spaghetti say to the other spaghetti?,"Pasta la vista, baby!"
152,general,What’s 50 Cent’s name in Zimbabwe?,200 Dollars.
153,general,Want to hear a chimney joke?,Got stacks of em! First one's on the house
154,general,Want to hear a joke about construction?,"Nah, I'm still working on it."
155,general,Want to hear my pizza joke?,"Never mind, it's too cheesy."
156,general,What animal is always at a game of cricket?,A bat.
157,general,What are the strongest days of the week?,Saturday and Sunday...the rest are weekdays.
158,general,What biscuit does a short person like?,Shortbread. 
159,general,What cheese can never be yours?,Nacho cheese.
160,general,What creature is smarter than a talking parrot?,A spelling bee.
161,general,What did celery say when he broke up with his girlfriend?,"She wasn't right for me, so I really don't carrot all."
162,general,What did Michael Jackson name his denim store?,   Billy Jeans!
163,general,What did one nut say as he chased another nut?, I'm a cashew!
164,general,What did one plate say to the other plate?,Dinner is on me!
165,general,What did one snowman say to the other snow man?,Do you smell carrot?
166,general,What did one wall say to the other wall?,I'll meet you at the corner!
167,general,What did Romans use to cut pizza before the rolling cutter was invented?,Lil Caesars
168,general,What did the 0 say to the 8?,Nice belt.
169,general,What did the beaver say to the tree?,It's been nice gnawing you.
170,general,What did the big flower say to the littler flower?,"Hi, bud!"
180,general,What did the Buffalo say to his little boy when he dropped him off at school?,Bison.
181,general,What did the digital clock say to the grandfather clock?,"Look, no hands!"
182,general,What did the dog say to the two trees?,Bark bark.
183,general,What did the Dorito farmer say to the other Dorito farmer?,Cool Ranch!
184,general,What did the fish say when it swam into a wall?,Damn!
185,general,What did the grape do when he got stepped on?,He let out a little wine.
186,general,What did the judge say to the dentist?,"Do you swear to pull the tooth, the whole tooth and nothing but the tooth?"
187,general,What did the late tomato say to the early tomato?,I’ll ketch up
188,general,What did the left eye say to the right eye?,"Between us, something smells!"
189,general,What did the mountain climber name his son?,Cliff.
189,general,What did the ocean say to the beach?,Thanks for all the sediment.
190,general,What did the ocean say to the shore?,"Nothing, it just waved."
191,general,Why don't you find hippopotamuses hiding in trees?,They're really good at it.
192,general,What did the pirate say on his 80th birthday?,Aye Matey!
193,general,What did the Red light say to the Green light?,Don't look at me I'm changing!
194,general,What did the scarf say to the hat?,"You go on ahead, I am going to hang around a bit longer."
195,general,What did the shy pebble wish for?,That she was a little boulder.
196,general,What did the traffic light say to the car as it passed?,Don't look I'm changing!
197,general,What did the Zen Buddist say to the hotdog vendor?,Make me one with everything.
198,general,What do birds give out on Halloween?,Tweets.
199,general,What do I look like?,A JOKE MACHINE!?
200,general,What do prisoners use to call each other?,Cell phones.
201,general,What do vegetarian zombies eat?,Grrrrrainnnnnssss.
202,general,What do you call a bear with no teeth?,A gummy bear!
203,general,What do you call a bee that lives in America?,A USB.
204,general,What do you call a boomerang that won't come back?,A stick.
205,general,What do you call a careful wolf?,Aware wolf.
206,general,What do you call a cow on a trampoline?,A milk shake!
207,general,What do you call a cow with no legs?,Ground beef.
208,general,What do you call a cow with two legs?,Lean beef.
209,general,What do you call a crowd of chess players bragging about their wins in a hotel lobby?,Chess nuts boasting in an open foyer.
210,general,What do you call a dad that has fallen through the ice?,A Popsicle.
211,general,What do you call a dictionary on drugs?,High definition.
212,general,what do you call a dog that can do magic tricks?,a labracadabrador
213,general,What do you call a droid that takes the long way around?,R2 detour.
214,general,What do you call a duck that gets all A's?,A wise quacker.
215,general,What do you call a fake noodle?,An impasta.
216,general,What do you call a fashionable lawn statue with an excellent sense of rhythmn?,A metro-gnome
217,general,What do you call a fat psychic?,A four-chin teller.
218,general,What do you call a fly without wings?,A walk.
219,general,What do you call a girl between two posts?,Annette.
220,general,What do you call a group of disorganized cats?,A cat-tastrophe.
221,general,What do you call a group of killer whales playing instruments?,An Orca-stra.
222,general,What do you call a monkey in a mine field?,A babooooom!
223,general,What do you call a nervous javelin thrower?,Shakespeare.
224,general,What do you call a pig that knows karate?,A pork chop!
225,general,What do you call a pig with three eyes?,Piiig
226,general,What do you call a pile of cats?, A Meowtain.
227,general,What do you call a sheep with no legs?,A cloud.
228,general,What do you call a troublesome Canadian high schooler?,A poutine.
229,general,What do you call an alligator in a vest?,An in-vest-igator!
230,general,What do you call an Argentinian with a rubber toe?,Roberto
231,general,What do you call an eagle who can play the piano?,Talonted!
232,general,What do you call an elephant that doesn’t matter?,An irrelephant.
233,general,What do you call an old snowman?,Water.
234,general,What do you call cheese by itself?,Provolone.
235,general,What do you call corn that joins the army?,Kernel.
236,general,What do you call someone with no nose?,Nobody knows.
237,general,What do you call two barracuda fish?, A Pairacuda!
238,general,What do you do on a remote island?,Try and find the TV island it belongs to.
239,general,What do you do when you see a space man?,"Park your car, man."
240,general,What do you get hanging from Apple trees?,Sore arms.
241,general,What do you get when you cross a bee and a sheep?,A bah-humbug.
242,general,What do you get when you cross a chicken with a skunk?,A fowl smell!
243,general,What do you get when you cross a rabbit with a water hose?,Hare spray.
244,general,What do you get when you cross a snowman with a vampire?,Frostbite.
245,general,What do you give a sick lemon?,Lemonaid.
246,general,What does a clock do when it's hungry?,It goes back four seconds!
247,general,What does a female snake use for support?,A co-Bra!
248,general,What does a pirate pay for his corn?,A buccaneer!
249,general,What does an angry pepper do?,It gets jalapeño face.
250,general,What happens to a frog's car when it breaks down?,It gets toad.
251,general,What happens when you anger a brain surgeon?,They will give you a piece of your mind.
252,general,What has ears but cannot hear?,A field of corn.
253,general,What is a centipedes's favorite Beatle song?," I want to hold your hand, hand, hand, hand..."
254,general,What is a tornado's favorite game to play?,Twister!
255,general,What is a vampire's favorite fruit?,A blood orange.
256,general,What is a witch's favorite subject in school?,Spelling!
257,general,What is red and smells like blue paint?,Red paint!
258,general,What is the difference between ignorance and apathy?,I don't know and I don't care.
259,general,What is the hardest part about sky diving?,The ground.
260,general,What is the leading cause of dry skin?,Towels
261,general,What is the least spoken language in the world?,Sign Language
262,general,What is the tallest building in the world?,"The library, it’s got the most stories!"
263,general,What is this movie about?,It is about 2 hours long.
264,general,What kind of award did the dentist receive?,A little plaque.
265,general,What kind of bagel can fly?,A plain bagel.
266,general,What kind of dinosaur loves to sleep?,A stega-snore-us.
267,general,What kind of dog lives in a particle accelerator?,A Fermilabrador Retriever.
268,general,What kind of magic do cows believe in?,MOODOO.
269,general,What kind of music do planets listen to?,Nep-tunes.
270,general,What kind of pants do ghosts wear?,Boo jeans.
271,general,What kind of tree fits in your hand?,A palm tree!
272,general,What lies at the bottom of the ocean and twitches?,A nervous wreck.
273,general,What musical instrument is found in the bathroom?,A tuba toothpaste.
274,general,What time did the man go to the dentist?,Tooth hurt-y.
275,general,What type of music do balloons hate?,Pop music!
276,general,What was a more important invention than the first telephone?,The second one.
277,general,What was the pumpkin’s favorite sport?,Squash.
278,general,What's black and white and read all over?,The newspaper.
279,general,What's blue and not very heavy?, Light blue.
280,general,What's brown and sticky?,A stick.
281,general,What's orange and sounds like a parrot?,A Carrot.
282,general,What's red and bad for your teeth?,A Brick.
283,general,What's the best thing about elevator jokes?,They work on so many levels.
284,general,What's the difference between a guitar and a fish?,"You can tune a guitar but you can't ""tuna""fish!"
285,general,What's the difference between a hippo and a zippo?,"One is really heavy, the other is a little lighter."
286,general,What's the difference between a seal and a sea lion?,An ion! 
287,general,What's the worst part about being a cross-eyed teacher?,They can't control their pupils.
288,general,What's the worst thing about ancient history class?,The teachers tend to Babylon.
289,general,What’s brown and sounds like a bell?,Dung!
290,general,What’s E.T. short for?,He’s only got little legs.
291,general,What’s Forest Gump’s Facebook password?,1forest1
292,general,What’s the advantage of living in Switzerland?,"Well, the flag is a big plus."
293,general,What’s the difference between an African elephant and an Indian elephant?,About 5000 miles.
294,general,When do doctors get angry?,When they run out of patients.
295,general,When does a joke become a dad joke?,When it becomes apparent.
296,general,When is a door not a door?,When it's ajar.
297,general,Where did you learn to make ice cream?,Sunday school.
298,general,Where do bees go to the bathroom?, The BP station.
299,general,Where do hamburgers go to dance?,The meat-ball.
300,general,Where do rabbits go after they get married?,On a bunny-moon.
301,general,Where do sheep go to get their hair cut?,The baa-baa shop.
302,general,Where do you learn to make banana splits?,At sundae school.
303,general,Where do young cows eat lunch?,In the calf-ateria.
304,general,Where does batman go to the bathroom?,The batroom.
305,general,Where does Fonzie like to go for lunch?,Chick-Fil-Eyyyyyyyy.
306,general,Where does Napoleon keep his armies?,In his sleevies.
307,general,Where was the Declaration of Independence signed?,At the bottom! 
308,general,Where’s the bin?,I haven’t been anywhere!
309,general,Which side of the chicken has more feathers?,The outside.
310,general,Who did the wizard marry?,His ghoul-friend
311,general,Who is the coolest Doctor in the hospital?,The hip Doctor!
312,general,Why are fish easy to weigh?,Because they have their own scales.
313,general,Why are fish so smart?,Because they live in schools!
314,general,Why are ghosts bad liars?,Because you can see right through them!
315,general,Why are graveyards so noisy?,Because of all the coffin.
316,general,Why are mummys scared of vacation?,They're afraid to unwind.
317,general,Why are oranges the smartest fruit?,Because they are made to concentrate. 
318,general,Why are pirates called pirates?,Because they arrr!
319,general,Why are skeletons so calm?,Because nothing gets under their skin.
320,general,Why can't a bicycle stand on its own?,It's two-tired.
321,general,"Why can't you use ""Beef stew""as a password?",Because it's not stroganoff.
322,general,Why can't your nose be 12 inches long?,Because then it'd be a foot!
323,general,Why can’t you hear a pterodactyl go to the bathroom?,The p is silent.
324,general,Why couldn't the kid see the pirate movie?,Because it was rated arrr!
325,general,Why couldn't the lifeguard save the hippie?,"He was too far out, man."
326,general,Why did Dracula lie in the wrong coffin?,He made a grave mistake.
327,general,Why did Sweden start painting barcodes on the sides of their battleships?,So they could Scandinavian.
328,general,Why did the A go to the bathroom and come out as an E?,Because he had a vowel movement.
329,general,Why did the barber win the race?,He took a short cut.
330,general,Why did the belt go to prison?,He held up a pair of pants!
331,general,Why did the burglar hang his mugshot on the wall?,To prove that he was framed!
332,general,Why did the chicken get a penalty?,For fowl play.
333,general,Why did the Clydesdale give the pony a glass of water?,Because he was a little horse!
334,general,Why did the coffee file a police report?,It got mugged.
335,general,Why did the cookie cry?,Because his mother was a wafer so long
336,general,Why did the cookie cry?,It was feeling crumby.
337,general,Why did the cowboy have a weiner dog?,Somebody told him to get a long little doggy.
338,general,"Why did the fireman wear red, white, and blue suspenders?",To hold his pants up.
339,general,Why did the girl smear peanut butter on the road?,To go with the traffic jam.
340,general,Why did the half blind man fall in the well?,Because he couldn't see that well!
341,general,Why did the house go to the doctor?,It was having window panes.
342,general,Why did the kid cross the playground?,To get to the other slide.
343,general,Why did the man put his money in the freezer?,He wanted cold hard cash!
344,general,Why did the man run around his bed?,Because he was trying to catch up on his sleep!
345,general,Why did the melons plan a big wedding?,Because they cantaloupe!
346,general,Why did the octopus beat the shark in a fight?,Because it was well armed.
347,general,Why did the opera singer go sailing?,They wanted to hit the high Cs.
348,general,Why did the scarecrow win an award?,Because he was outstanding in his field.
349,general,Why did the tomato blush?,Because it saw the salad dressing.
350,general,Why did the tree go to the dentist?,It needed a root canal.
351,general,Why did the worker get fired from the orange juice factory?,Lack of concentration.
352,general,Why didn't the number 4 get into the nightclub?,Because he is 2 square.
353,general,Why didn’t the orange win the race?,It ran out of juice.
354,general,Why didn’t the skeleton cross the road?,Because he had no guts.
355,general,Why do bananas have to put on sunscreen before they go to the beach?,Because they might peel!
356,general,Why do bears have hairy coats?,Fur protection.
357,general,Why do bees have sticky hair?,Because they use honey combs!
358,general,Why do bees hum?,Because they don't know the words.
359,general,Why do birds fly south for the winter?,Because it's too far to walk.
360,general,Why do choirs keep buckets handy?,So they can carry their tune
361,general,Why do crabs never give to charity?,Because they’re shellfish.
362,general,Why do ducks make great detectives?,They always quack the case.
363,general,Why do mathematicians hate the U.S.?,Because it's indivisible.
364,general,Why do pirates not know the alphabet?,"They always get stuck at ""C""."
365,general,Why do pumpkins sit on people’s porches?,They have no hands to knock on the door.
366,general,Why do scuba divers fall backwards into the water?,Because if they fell forwards they’d still be in the boat.
367,general,Why do trees seem suspicious on sunny days?,"Dunno, they're just a bit shady."
368,general,Why do valley girls hang out in odd numbered groups?,Because they can't even.
369,general,Why do wizards clean their teeth three times a day?,To prevent bat breath!
370,general,Why do you never see elephants hiding in trees?,Because they're so good at it.
371,general,Why does a chicken coop only have two doors?,Because if it had four doors it would be a chicken sedan.
372,general,Why does a Moon-rock taste better than an Earth-rock?,Because it's a little meteor.
373,general,"Why does it take longer to get from 1st to 2nd base, than it does to get from 2nd to 3rd base?",Because there’s a Shortstop in between!
374,general,Why does Norway have barcodes on their battleships?,"So when they get back to port, they can Scandinavian."
375,general,Why does Superman get invited to dinners?,Because he is a Supperhero.
376,general,Why does Waldo only wear stripes?,Because he doesn't want to be spotted.
377,programming,Knock-knock.,A race condition. Who is there?
378,programming,What's the best part about TCP jokes?,I get to keep telling them until you get them.
379,programming,A programmer puts two glasses on his bedside table before going to sleep.,"A full one, in case he gets thirsty, and an empty one, in case he doesn’t."
380,programming,There are 10 kinds of people in this world.,"Those who understand binary, those who don't, and those who weren't expecting a base 3 joke."
381,general,Two guys walk into a bar . . .,"The first guy says ""Ouch!"" and the second says ""Yeah, I didn't see it either."""
382,programming,What did the router say to the doctor?,It hurts when IP.
383,programming,An IPv6 packet is walking out of the house.,He goes nowhere.
384,programming,A DHCP packet walks into a bar and asks for a beer.,"Bartender says, ""here, but I’ll need that back in an hour!"""
385,programming,"3 SQL statements walk into a NoSQL bar. Soon, they walk out",They couldn't find a table.
386,general,I saw a nice stereo on Craigslist for $1. Seller says the volume is stuck on ‘high’,I couldn’t turn it down.
387,general,"My older brother always tore the last pages of my comic books, and never told me why.",I had to draw my own conclusions.
