category,type,setup,delivery,flags,id,safe,lang,joke
Programming,twopart,Why does no one like SQLrillex?,He keeps dropping the database.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",13,True,en,
Programming,twopart,Why do Java programmers hate communism?,They don't want to live in a classless society.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",53,True,en,
Programming,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",5,True,en,"A SQL statement walks into a bar and sees two tables.
It approaches, and asks ""may I join you?"""
Programming,twopart,Why did the programmer jump on the table?,Because debug was on his screen.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",214,True,en,
Programming,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",39,True,en,The generation of random numbers is too important to be left to chance.
Programming,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",34,True,en,"Eight bytes walk into a bar.
The bartender asks, ""Can I get you anything?""
""Yeah,"" reply the bytes.
""Make us a double."""
Programming,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",43,True,en,"How do you tell HTML from HTML5?
- Try it out in Internet Explorer
- Did it work?
- No?
- It's HTML5."
Programming,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",41,True,en,"Hey Girl,
Roses are #ff0000,
Violets are #0000ff,
I use hex codes,
But I'd use RGB for you."
Pun,twopart,"Why did the chicken cross the road, roll in the mud and cross the road again?",He was a dirty double-crosser!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",209,True,en,
Pun,twopart,Two guys walked into a bar.,The third guy ducked.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",168,True,en,
Pun,twopart,What do you call a witch at the beach?,A Sandwich.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",176,True,en,
Pun,twopart,"The gas Argon walks into a bar.
The barkeeper says ""What would you like to drink?""",But Argon doesn't react.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",148,True,en,
Pun,twopart,How much did your chimney cost?,"Nothing, it was on the house.","{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",231,True,en,
Pun,twopart,What do you call 4 Mexicans in quicksand?,Quatro Sinko.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",177,True,en,
Pun,twopart,I hate Russian matryoshka dolls.,They're so full of themselves.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",87,True,en,
Pun,twopart,What did the customer say to the waiter?,I'm all fed up with your service.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",190,True,en,
Pun,twopart,"I was feeling depressed, my wife put her hand on my back and said ""Earth.""",It meant the world to me.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",282,True,en,
Pun,twopart,Did you hear about the claustrophobic astronaut?,He just needed a little space.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",276,True,en,
Pun,twopart,"My employer came running to me and said, ""I was looking for you all day! Where the hell have you been?""","I replied, ""Good employees are hard to find.""","{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",283,True,en,
Pun,twopart,"To prove he was right, the flat-earther walked to the end of the Earth.",He eventually came around.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",280,True,en,
Pun,twopart,Why did the banana go see a doctor?,Because it wasn't peeling well.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",256,True,en,
Pun,twopart,A Roman walks into a bar and raises 2 fingers and says to the bartender...,"""Five beers, please.""","{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",286,True,en,
Pun,twopart,Thank you student loans for getting me through college.,I don't think I'll ever be able to repay you.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",59,True,en,
Spooky,twopart,Why didn't the skeleton go for prom?,Because it had nobody.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",183,True,en,
